"","X","Length","Width","MeanThick","Max_Thick","Weight","Surface.Plat","Platfom_Depth","Cortex","No_Scars","Termination_type","EPA","Log_Weight","Log_Max_Thick","Log_Plat","Log_Plat_De"
"176",176,78.8,82.4,17.5666666666667,21.9,133.05,611.25,15,1,0,"Feather",64,2.12401487888741,1.34044411484012,2.78621887213168,1.17609125905568
"177",177,52.1,45.5,7.06666666666667,10,11.28,41.9088459988878,4.6,2,1,"Feather",74,1.05230909964732,1,1.62230570227466,0.662757831681574
"178",178,52.5,47.6,13.0333333333333,14.3,38.34,163.83,12.7,4,4,"Feather",75,1.58365210854204,1.15533603746506,2.21439343125521,1.10380372095596
"179",179,71.9,39.2,6.43333333333333,9.3,23.58,107.01,5.8,5,5,"Feather",85,1.37254380075907,0.968482948553935,2.02942436405802,0.763427993562937
"180",180,30.2,31.5,5.96666666666667,7.1,6.41,35.72,4.7,5,4,"Feather",87,0.806858029518817,0.851258348719075,1.55291145021651,0.672097857935718
"181",181,30.8,29.6,5.3,7.1,4.83,17.205,3.7,5,4,"Feather",87,0.683947130751512,0.851258348719075,1.23565467695695,0.568201724066995
"182",182,27.2,26.4,2.63333333333333,3.1,2.36,8.05,2.3,5,4,"Feather",85,0.372912002970107,0.491361693834273,0.905795880367869,0.361727836017593
"183",183,29.5,32.5,4.56666666666667,6.3,4.93,77.97,4.6,5,3,"Feather",83,0.69284691927723,0.799340549453582,1.89192753422067,0.662757831681574
"184",184,37.4,38.4,7.76666666666667,10,12.45,69.7,6.8,5,3,"Feather",66,1.09516935143176,1,1.84323277809801,0.832508912706236
"185",185,32.1,39.1,5.23333333333333,6.5,6.31,48.6,4.5,5,3,"Feather",86,0.800029359244134,0.812913356642856,1.68663626926229,0.653212513775344
"186",186,36.6,23.7,6.83333333333333,9,5.64,28.12,3.8,5,2,"Feather",75,0.751279103983342,0.954242509439325,1.44901531634779,0.57978359661681
"187",187,40.7,38.4,5.13333333333333,6.9,8.15,25.155,4.3,5,4,"Feather",64,0.911157608739977,0.838849090737255,1.40062432166177,0.633468455579587
"188",188,38.1,21.7,4.76666666666667,6.7,4.83,23.115,2.3,5,3,"Feather",83,0.683947130751512,0.826074802700826,1.3638938977741,0.361727836017593
"189",189,48.4,41.5,7.03333333333333,8.4,19.58,45.76,5.2,5,4,"Feather",79,1.29181268746712,0.924279286061882,1.66048601578497,0.716003343634799
